"","Year","Area","Street","Street.2"
"125",2011,"Birmingham","masshouse lane"," "
"126",2011,"Birmingham","Meadwaym Stechford"," "
"127",2011,"Birmingham","Mickleover Road Bromford"," "
"128",2011,"Birmingham","moorcroft road"," "
"129",2011,"Birmingham","Moseley Road"," "
"130",2011,"Birmingham","moseley road"," "
"131",2011,"Birmingham","moseley road"," "
"132",2011,"Birmingham","moseley road"," "
"133",2011,"Birmingham","Moseley Village"," "
"134",2011,"Birmingham","Moseley Village"," "
"135",2011,"Birmingham","Moseley Village Alcester road"," "
"136",2011,"Birmingham","Mosley All Services Club Church Road Moseley"," "
"137",2011,"Birmingham","Nearlands Close Quinton"," "
"138",2011,"Birmingham","new St"," "
"139",2011,"Birmingham","Northfield High St"," "
"140",2011,"Birmingham","O S BEHANS HIGHFIELD ROAD BILLESLEY"," "
"141",2011,"Birmingham","O S The junction Mosley Village"," "
"142",2011,"Birmingham","O S Washwood Heath road"," "
"143",2011,"Birmingham","Oakhill Road Acocks Green"," "
"144",2011,"Birmingham","Opp white hart lane cooks lane"," "
"145",2011,"Birmingham","Opposite ALDI Stratford Road"," "
"146",2011,"Birmingham","Outside Java lounge Alcester Road"," "
"147",2011,"Birmingham","Outside O2 Academy Night Club B ham City Centre"," "
"148",2011,"Birmingham","outside raven public house"," "
"149",2011,"Birmingham","Packington Ave Shard End"," "
"150",2011,"Birmingham","park off hob moor road"," "
"151",2011,"Birmingham","Parkhall Croft"," "
"152",2011,"Birmingham","Pear Tree PH"," "
"153",2011,"Birmingham","Police station"," "
"154",2011,"Birmingham","Police Station Stechford"," "
"155",2011,"Birmingham","poplar road"," "
"156",2011,"Birmingham","Poplar road"," "
"157",2011,"Birmingham","poplar road solihull"," "
"158",2011,"Birmingham","poplar road solihull"," "
"159",2011,"Birmingham","Preston Road"," "
"160",2011,"Birmingham","Priory Road Hall Green"," "
"161",2011,"Birmingham","prospect road"," "
"162",2011,"Birmingham","queenswood road"," "
"163",2011,"Birmingham","rear of boots high St"," "
"164",2011,"Birmingham","REDDINGS LANE TSYLEY"," "
"165",2011,"Birmingham","Richmond Primary Care Centre Richmond Road Stechford"," "
"166",2011,"Birmingham","ring road stourbridge"," "
"167",2011,"Birmingham","sainsburys wawrick road"," "
"168",2011,"Birmingham","sainsburys alcester road south"," "
"169",2011,"Birmingham","Sandford Road Moseley"," "
"170",2011,"Birmingham","Sarehole Mill"," "
"171",2011,"Birmingham","Sedgemere Road"," "
"172",2011,"Birmingham","Shirley Road"," "
"173",2011,"Birmingham","SHirley Road"," "
"174",2011,"Birmingham","Snow Hill"," "
"175",2011,"Birmingham","Solihull Lane"," "
"176",2011,"Birmingham","St Mary s Road Moseley"," "
"177",2011,"Birmingham","St Marys Row"," "
"178",2011,"Birmingham","station road"," "
"179",2011,"Birmingham","Station Way Birmingham International rail Station"," "
"180",2011,"Birmingham","Stechford front office"," "
"181",2011,"Birmingham","Stechford P S"," "
"182",2011,"Birmingham","Stechford Retail Park"," "
"183",2011,"Birmingham","Stonehenge croft Druids heath"," "
"184",2011,"Birmingham","Stoney Lane"," "
"185",2011,"Birmingham","Stoney Lane"," "
"186",2011,"Birmingham","stoney lane"," "
"187",2011,"Birmingham","STRATFORD HEATH SPARK HILL BIRMINGHAM"," "
"188",2011,"Birmingham","stratford road"," "
"189",2011,"Birmingham","Stratford road"," "
"190",2011,"Birmingham","Stratford Road"," "
"191",2011,"Birmingham","stratford road hall green"," "
"192",2011,"Birmingham","stratford roads"," "
"193",2011,"Birmingham","Stuart Road Stechford"," "
"194",2011,"Birmingham","talbort St"," "
"195",2011,"Birmingham","Taunton Road"," "
"196",2011,"Birmingham","Tavistock road"," "
"197",2011,"Birmingham","The Ave"," "
"198",2011,"Birmingham","The paer tree pub"," "
"199",2011,"Birmingham","Trafalger Road"," "
"200",2011,"Birmingham","Wake green Road"," "
"201",2011,"Birmingham","Ward End Road"," "
"202",2011,"Birmingham","Warwick Road"," "
"203",2011,"Birmingham","Warwick Road"," "
"204",2011,"Birmingham","Warwick Road"," "
"205",2011,"Birmingham","Warwick Road"," "
"206",2011,"Birmingham","Warwick Road"," "
"207",2011,"Birmingham","Warwick Road Tysley"," "
"208",2011,"Birmingham","Wash lane"," "
"209",2011,"Birmingham","Washford Heath Road"," "
"210",2011,"Birmingham","Washwood Heath pub"," "
"211",2011,"Birmingham","WASHWOOD HEATH RD WASHWOOD HEATH BHAM"," "
"212",2011,"Birmingham","Washwood Heath road"," "
"213",2011,"Birmingham","Washwood Heath Road"," "
"214",2011,"Birmingham","Washwood Heath Road"," "
"215",2011,"Birmingham","Washwood Heath Road"," "
"216",2011,"Birmingham","Watery Lane Middleway Birmingham"," "
"217",2011,"Birmingham","wawrick road"," "
"218",2011,"Birmingham","Welshfarm Road Quinton"," "
"219",2011,"Birmingham","Westley Road"," "
"220",2011,"Birmingham","Westley Road Acocks Green"," "
"221",2011,"Birmingham","White Hart Public House"," "
"222",2011,"Birmingham","White Hart Public House"," "
"223",2011,"Birmingham","Whiteheart pub Gressell Lane"," "
"224",2011,"Birmingham","William Hill Bookmakers Washwood Heath Road"," "
"225",2011,"Birmingham","William Hill Bookmakers Washwood Heath Road"," "
"226",2011,"Birmingham","William Hill Washwood Heath Road"," "
"227",2011,"Birmingham","Windward Road"," "
"228",2011,"Birmingham","Windward Road"," "
"229",2011,"Birmingham","Wood End Road Erdington"," "
"230",2011,"Birmingham","Woodbridge road moseley"," "
"231",2011,"Birmingham","Wright St"," "
"232",2011,"Birmingham","yardley green road"," "
"233",2011,"Birmingham","yardley road acocks green"," "
"234",2011,"Birmingham","Yardley Wood Road"," "
"235",2011,"Birmingham","Yardley Wood Road"," "
"236",2011,"Birmingham","Yew Tree car park"," "
"237",2011,"Birmingham","Yew Tree Lane"," "
"238",2011,"Birmingham","Yew Tree public house car park"," "
"239",2011,"Birmingham","Armada Pub Slade Road Erdington Birmingham"," "
"240",2011,"Birmingham","Armarda Pub Gravelly Hill"," "
"241",2011,"Birmingham","Armarda Pub Gravelly Hill"," "
"242",2011,"Birmingham","BADGERS BANK ROAD"," "
"243",2011,"Birmingham","Baldmoor Lake Road Erdington Birmingham"," "
"244",2011,"Birmingham","bandywood Rd kingstanding"," "
"245",2011,"Birmingham","Beckenham Road"," "
"246",2011,"Birmingham","Beeches Walk"," "
"247",2011,"Birmingham","BIRMINGHAM RD"," "
"248",2011,"Birmingham","BIRMINGHAM RD"," "
"249",2011,"Birmingham","Birmingham Rd SC"," "
"250",2011,"Birmingham","Birmingham Road"," "
"251",2011,"Birmingham","Birmingham Road"," "
"252",2011,"Birmingham","birmingham road sutton"," "
"253",2011,"Birmingham","Birmingham Road Erdington"," "
"254",2011,"Birmingham","Birmingham Road Sutton Coldfield"," "
"255",2011,"Birmingham","Birmingham Road Sutton Coldfield"," "
"256",2011,"Birmingham","BOWLING GREEN CLOSE"," "
"257",2011,"Birmingham","Bracebridge Road Erdington"," "
"258",2011,"Birmingham","brassington Ave"," "
"259",2011,"Birmingham","Bromford Lane"," "
"260",2011,"Birmingham","Bromford Lane Erdington B ham"," "
"261",2011,"Birmingham","Brookvale park Road"," "
"262",2011,"Birmingham","Carhampton Road Falcon Lodge Sutton Colfield"," "
"263",2011,"Birmingham","Carshalton Road"," "
"264",2011,"Birmingham","carshorlton Road"," "
"265",2011,"Birmingham","chester rd"," "
"266",2011,"Birmingham","CHESTER ROAD"," "
"267",2011,"Birmingham","Chester Road Halls garden Centre"," "
"268",2011,"Birmingham","CHURCH RD AT CHESTER RD"," "
"269",2011,"Birmingham","College Road Kingstanding B ham"," "
"270",2011,"Birmingham","College Road Kingstanding B ham"," "
"271",2011,"Birmingham","Copshill Court Mount View Sutton Coldfield"," "
"272",2011,"Birmingham","Dovedale Road Erdington B ham"," "
"273",2011,"Birmingham","Downside Road Erdington B ham"," "
"274",2011,"Birmingham","Eachelhurt Road Erdington"," "
"275",2011,"Birmingham","ERDINGTON HALL ROAD"," "
"276",2011,"Birmingham","ERDINGTON HALL ROAD"," "
"277",2011,"Birmingham","Erdington High St"," "
"278",2011,"Birmingham","Fentham Road Erdington B ham"," "
"279",2011,"Birmingham","FINCHLEY ROAD"," "
"280",2011,"Birmingham","Finchley Road Kingstanding B ham"," "
"281",2011,"Birmingham","GEORGE FREDERICK ROAD"," "
"282",2011,"Birmingham","Golden Pond take away Boldmere Road"," "
"283",2011,"Birmingham","good hope hospital"," "
"284",2011,"Birmingham","Gracechurch Centre"," "
"285",2011,"Birmingham","Gracechurch centre outside Supercigs"," "
"286",2011,"Birmingham","GraceChurch Shopping Centre Sutton Coldfield"," "
"287",2011,"Birmingham","grassed area pype hayes park"," "
"288",2011,"Birmingham","Gravelley lane"," "
"289",2011,"Birmingham","Gravelley lane"," "
"290",2011,"Birmingham","Gravelley lane"," "
"291",2011,"Birmingham","Gravelly Lane Erdington Birmingham"," "
"292",2011,"Birmingham","hairy lemon pub sutton coldfield"," "
"293",2011,"Birmingham","hairy lemon pub sutton coldfield"," "
"294",2011,"Birmingham","Hermatige Road"," "
"295",2011,"Birmingham","Hermatige Road"," "
"296",2011,"Birmingham","HERMITAGE DRIVE"," "
"297",2011,"Birmingham","High St"," "
"298",2011,"Birmingham","high St erdington"," "
"299",2011,"Birmingham","high St erdington"," "
"300",2011,"Birmingham","High St Erdington"," "
"301",2011,"Birmingham","High St S C"," "
"302",2011,"Birmingham","High St S C"," "
"303",2011,"Birmingham","Hight St ErdINGTON"," "
"304",2011,"Birmingham","HUNTON HILL"," "
"305",2011,"Birmingham","KFC retail outlet Erdington High St"," "
"306",2011,"Birmingham","Kingsbury Road Erdington B ham"," "
"307",2011,"Birmingham","Kingstanding Circle"," "
"308",2011,"Birmingham","Ladywell Walk Birmingham"," "
"309",2011,"Birmingham","Landsdown Road"," "
"310",2011,"Birmingham","LICHFIELD ROAD MERE GREEN"," "
"311",2011,"Birmingham","LICHFIELD ROAD SUTTON COLDFIELD"," "
"312",2011,"Birmingham","Lindridge Road Sutton Coldfield"," "
"313",2011,"Birmingham","little aston lane"," "
"314",2011,"Birmingham","LONGFORD ROAD"," "
"315",2011,"Birmingham","Longford Road Kingstanding B ham"," "
"316",2011,"Birmingham","lower parade"," "
"317",2011,"Birmingham","LOWER PARADE"," "
"318",2011,"Birmingham","lower parade"," "
"319",2011,"Birmingham","lower parade"," "
"320",2011,"Birmingham","lower parade"," "
"321",2011,"Birmingham","lower parade"," "
"322",2011,"Birmingham","LOWER PARADE"," "
"323",2011,"Birmingham","Lower Parade"," "
"324",2011,"Birmingham","Lower Parade"," "
"325",2011,"Birmingham","LOWER PARADE"," "
"326",2011,"Birmingham","Lower Parade"," "
"327",2011,"Birmingham","LOWER PARADE"," "
"328",2011,"Birmingham","Lower Parade"," "
"329",2011,"Birmingham","LOWER PARADE"," "
"330",2011,"Birmingham","LOWER PARADE"," "
"331",2011,"Birmingham","Lower Parade"," "
"332",2011,"Birmingham","Lower Parade"," "
"333",2011,"Birmingham","Lower Parade"," "
"334",2011,"Birmingham","LOWER PARADE"," "
"335",2011,"Birmingham","lower parade SC"," "
"336",2011,"Birmingham","LOWER PARADE SUTTON"," "
"337",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"338",2011,"Birmingham","lower parade"," "
"339",2011,"Birmingham","Lower parade Suton Coldfield"," "
"340",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"341",2011,"Birmingham","lower parade sutton coldfield"," "
"342",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"343",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"344",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"345",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"346",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"347",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"348",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"349",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"350",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"351",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"352",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"353",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"354",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"355",2011,"Birmingham","Lower Parade Sutton Coldfield town centre"," "
"356",2011,"Birmingham","Lower Parade Sutton Coldfield town Centre"," "
"357",2011,"Birmingham","Lower Parade Sutton Coldfield"," "
"358",2011,"Birmingham","lydham close"," "
"359",2011,"Birmingham","Mill St"," "
"360",2011,"Birmingham","Mill St Sutton Coldfield"," "
"361",2011,"Birmingham","moor hall hotel"," "
"362",2011,"Birmingham","Mulberry Court Carpark Kings Road Kingstanding Birmingham"," "
"363",2011,"Birmingham","newhall walk car park"," "
"364",2011,"Birmingham","newhall walk car park"," "
"365",2011,"Birmingham","O S H A"," "
"366",2011,"Birmingham","O s Litten Tree"," "
"367",2011,"Birmingham","O S Litten Tree S C Town Centre"," "
"368",2011,"Birmingham","O S MooMoo Bar S c Town Centre"," "
"369",2011,"Birmingham","o s moomoo bar South parade"," "
"370",2011,"Birmingham","o s retro"," "
"371",2011,"Birmingham","O S Retro South parade"," "
"372",2011,"Birmingham","O S Retros"," "
"373",2011,"Birmingham","O S Royal Hotel Lichfield Road"," "
"374",2011,"Birmingham","o s temple bar"," "
"375",2011,"Birmingham","O S Temple Bar"," "
"376",2011,"Birmingham","O S Temple Bar High St"," "
"377",2011,"Birmingham","O s Temple Bar Lower Parade Sutton Coldfield"," "
"378",2011,"Birmingham","O S Temple Bar S C Town Centre"," "
"379",2011,"Birmingham","o s temple bar sutton coldfield west milands"," "
"380",2011,"Birmingham","o s the hairy lemon"," "
"381",2011,"Birmingham","On pavement outside The Royal Hotel"," "
"382",2011,"Birmingham","Ourtside Royal Pub Lichfield Road Sutton Coldfield"," "
"383",2011,"Birmingham","outside Glendale Tower Lyndhurst Estate"," "
"384",2011,"Birmingham","Outside Litten Tree pub Birmingham Road Sutton Coldfield"," "
"385",2011,"Birmingham","Outside Moo Moo Club Town Centre Sutton Coldfield"," "
"386",2011,"Birmingham","Outside Moo Moo night club South Parade"," "
"387",2011,"Birmingham","Outside Temple Parade Lower Parade"," "
"388",2011,"Birmingham","Outside the Temple Bar Lower Parade SC"," "
"389",2011,"Birmingham","PARADE SUTTON COLDFIELD"," "
"390",2011,"Birmingham","parade SC"," "
"391",2011,"Birmingham","parade sutton coldfield"," "
"392",2011,"Birmingham","parade sutton coldfield"," "
"393",2011,"Birmingham","PARADE SUTTON COLDFIELD"," "
"394",2011,"Birmingham","parade sutton town"," "
"395",2011,"Birmingham","Parade Sutton Coldfield"," "
"396",2011,"Birmingham","Parade Sutton Coldfield"," "
"397",2011,"Birmingham","Parade Sutton Town Centre"," "
"398",2011,"Birmingham","Parkeston Crescent Kinsgatnding B ham"," "
"399",2011,"Birmingham","PLANTS GROVE ERDINGTON"," "
"400",2011,"Birmingham","Pype Hayes Road Pype Hayes B ham"," "
"401",2011,"Birmingham","Pype Hayes Road Pype Hayes B ham"," "
"402",2011,"Birmingham","Pype Hayes Road Pype Hayes B ham"," "
"403",2011,"Birmingham","queen St"," "
"404",2011,"Birmingham","queen St"," "
"405",2011,"Birmingham","queen St"," "
"406",2011,"Birmingham","queen St"," "
"407",2011,"Birmingham","Queen St Sutton Coldfield Town centre"," "
"408",2011,"Birmingham","Queslett Road East"," "
"409",2011,"Birmingham","REDACRE RD BOLDMERE"," "
"410",2011,"Birmingham","RESERVOIR ROAD"," "
"411",2011,"Birmingham","Ridgeway"," "
"412",2011,"Birmingham","Slade Road Erdington B ham"," "
"413",2011,"Birmingham","Slade Road Erdington B ham"," "
"414",2011,"Birmingham","Soth parade Sutton Coldfield"," "
"415",2011,"Birmingham","Soth parade Sutton Coldfield"," "
"416",2011,"Birmingham","south parade"," "
"417",2011,"Birmingham","SOUTH PARADE"," "
"418",2011,"Birmingham","SOUTH PARADE"," "
"419",2011,"Birmingham","South Parade"," "
"420",2011,"Birmingham","South Parade"," "
"421",2011,"Birmingham","South Parade"," "
"422",2011,"Birmingham","South Parade"," "
"423",2011,"Birmingham","SOUTH PARADE"," "
"424",2011,"Birmingham","South Parade"," "
"425",2011,"Birmingham","south parade"," "
"426",2011,"Birmingham","south parade"," "
"427",2011,"Birmingham","South Parade"," "
"428",2011,"Birmingham","South Parade town centre Sutton Coldfield"," "
"429",2011,"Birmingham","South Parade Sutton Coldfield"," "
"430",2011,"Birmingham","South parade Sutton Coldfield"," "
"431",2011,"Birmingham","South Parade Sutton Town centre"," "
"432",2011,"Birmingham","South Parade Sutton Coldfield"," "
"433",2011,"Birmingham","South Parade Sutton Coldfield"," "
"434",2011,"Birmingham","South parade Sutton Coldfield"," "
"435",2011,"Birmingham","South Parade Sutton Coldfield"," "
"436",2011,"Birmingham","South parade Sutton Coldfield"," "
"437",2011,"Birmingham","South Parade Sutton Coldfield"," "
"438",2011,"Birmingham","South parade Sutton Coldfield"," "
"439",2011,"Birmingham","South Parade Sutton Coldfield"," "
"440",2011,"Birmingham","South Parade Sutton Coldfield"," "
"441",2011,"Birmingham","South Parade Sutton Coldfield"," "
"442",2011,"Birmingham","South parade Sutton Coldfield"," "
"443",2011,"Birmingham","South parade Sutton Town Centre"," "
"444",2011,"Birmingham","South Parade Town Centre Sutton Coldfield"," "
"445",2011,"Birmingham","STORNAWAY ROAD CASTLE VALE"," "
"446",2011,"Birmingham","STREETLEY ROAD ERDINGTON"," "
"447",2011,"Birmingham","sumburgh croft"," "
"448",2011,"Birmingham","Sutton Coldfield Town Centre"," "
"449",2011,"Birmingham","Sutton Coldfield Town Centre"," "
"450",2011,"Birmingham","Sutton New Road"," "
"451",2011,"Birmingham","Sutton New Road Erdington"," "
"452",2011,"Birmingham","SUTTON NEW ROAD ERDINGTON"," "
"453",2011,"Birmingham","SUTTON NEW ROAD ERDINGTON"," "
"454",2011,"Birmingham","Sutton New Road Erdington B ham"," "
"455",2011,"Birmingham","Sutton Parade"," "
"456",2011,"Birmingham","SUTTON PARADE"," "
"457",2011,"Birmingham","Sutton Parade"," "
"458",2011,"Birmingham","Sutton Town centre"," "
"459",2011,"Birmingham","sutton town centre"," "
"460",2011,"Birmingham","sutton town centre"," "
"461",2011,"Birmingham","sutton town centre"," "
"462",2011,"Birmingham","Sutton Town Centre"," "
"463",2011,"Birmingham","tedbury crescent"," "
"464",2011,"Birmingham","Tesco s Express Walsall Road Four Oaks Sutton Coldfield"," "
"465",2011,"Birmingham","The Parade"," "
"466",2011,"Birmingham","The Parade"," "
"467",2011,"Birmingham","The Parade"," "
"468",2011,"Birmingham","the parade sutton"," "
"469",2011,"Birmingham","THE PARADE SUTTON COLDFIELD"," "
"470",2011,"Birmingham","The Parade Birmingham Road Sutton Coldfield"," "
"471",2011,"Birmingham","The Parade Sutton Coldfield"," "
"472",2011,"Birmingham","The Parade Sutton Coldfield"," "
"473",2011,"Birmingham","The Parade Sutton Coldfield"," "
"474",2011,"Birmingham","The Parade Sutton Coldfield"," "
"475",2011,"Birmingham","The Parade Sutton Coldfield"," "
"476",2011,"Birmingham","The Parade Sutton Coldfield"," "
"477",2011,"Birmingham","The Parade Sutton Town Centre"," "
"478",2011,"Birmingham","the parade"," "
"479",2011,"Birmingham","THE RIDGEWAY"," "
"480",2011,"Birmingham","The Ridgeway"," "
"481",2011,"Birmingham","The Ridgeway"," "
"482",2011,"Birmingham","The Swan PH"," "
"483",2011,"Birmingham","turnhouse road"," "
"484",2011,"Birmingham","Upper Holland Road"," "
"485",2011,"Birmingham","Victoria Rd"," "
"486",2011,"Birmingham","Victoria Rd"," "
"487",2011,"Birmingham","victoria rd"," "
"488",2011,"Birmingham","Walsh Drive Walmley Sutton Coldfield"," "
"489",2011,"Birmingham","Warren Farm Rd"," "
"490",2011,"Birmingham","Warren Farm Road"," "
"491",2011,"Birmingham","whitehouse common rd"," "
"492",2011,"Birmingham","wilton Rd"," "
"493",2011,"Birmingham","Windsor House Jarvis Road Erdington"," "
"494",2011,"Birmingham","Witton Lodge Road"," "
"495",2011,"Birmingham","Witton lodge Road erdington"," "
"496",2011,"Birmingham","York Road"," "
"497",2011,"Birmingham","Abdon Ave"," "
"498",2011,"Birmingham","Alcester Road South"," "
"499",2011,"Birmingham","alvechurch rd"," "
"500",2011,"Birmingham","arden road"," "
"501",2011,"Birmingham","ardencote froad"," "
"502",2011,"Birmingham","Ashley Close"," "
"503",2011,"Birmingham","balti spice Bristol rd South"," "
"504",2011,"Birmingham","Barnes Hill"," "
"505",2011,"Birmingham","Barrow House"," "
"506",2011,"Birmingham","Bell St"," "
"507",2011,"Birmingham","Birmingham New St"," "
"508",2011,"Birmingham","Birmingham New St"," "
"509",2011,"Birmingham","Birmingham New St"," "
"510",2011,"Birmingham","Birmingham St Oldbury"," "
"511",2011,"Birmingham","Blandford Road"," "
"512",2011,"Birmingham","Bournbrook Road"," "
"513",2011,"Birmingham","Bournville Front Office"," "
"514",2011,"Birmingham","bournville front office"," "
"515",2011,"Birmingham","bournville lane"," "
"516",2011,"Birmingham","Bournville Lane"," "
"517",2011,"Birmingham","Bournville lane front office"," "
"518",2011,"Birmingham","bowling green road"," "
"519",2011,"Birmingham","Bristol Rd"," "
"520",2011,"Birmingham","bristol rd"," "
"521",2011,"Birmingham","bristol rd"," "
"522",2011,"Birmingham","bristol rd"," "
